group;first;second;third;forth;n;p
A;KSA;EGY;URU;RUS;2;0.000020
A;URU;EGY;KSA;RUS;2989;0.029890
A;URU;KSA;EGY;RUS;1978;0.019780
A;URU;EGY;RUS;KSA;2167;0.021670
A;URU;RUS;EGY;KSA;74569;0.745690
A;KSA;URU;EGY;RUS;115;0.001150
A;KSA;URU;RUS;EGY;635;0.006350
A;URU;KSA;RUS;EGY;2212;0.022120
A;URU;RUS;KSA;EGY;15230;0.152300
A;RUS;KSA;URU;EGY;39;0.000390
A;EGY;KSA;URU;RUS;1;0.000010
A;EGY;RUS;URU;KSA;1;0.000010
A;RUS;URU;KSA;EGY;62;0.000620
B;ESP;MAR;IRN;POR;148;0.001480
B;ESP;POR;MAR;IRN;31663;0.316630
B;ESP;MAR;POR;IRN;1059;0.010590
B;ESP;IRN;POR;MAR;1;0.000010
B;ESP;POR;IRN;MAR;67124;0.671240
B;ESP;IRN;MAR;POR;5;0.000050
C;DEN;FRA;PER;AUS;2;0.000020
C;FRA;PER;DEN;AUS;38103;0.381030
C;FRA;DEN;AUS;PER;1149;0.011490
C;FRA;AUS;PER;DEN;1635;0.016350
C;DEN;PER;AUS;FRA;1;0.000010
C;DEN;AUS;FRA;PER;1;0.000010
C;AUS;DEN;FRA;PER;1;0.000010
C;PER;DEN;FRA;AUS;1;0.000010
C;FRA;PER;AUS;DEN;4206;0.042060
C;FRA;DEN;PER;AUS;51381;0.513810
C;FRA;AUS;DEN;PER;3519;0.035190
C;DEN;PER;FRA;AUS;1;0.000010
D;ARG;ISL;CRO;NGA;2;0.000020
D;ARG;ISL;NGA;CRO;216;0.002160
D;ARG;NGA;CRO;ISL;10055;0.100550
D;NGA;ARG;ISL;CRO;2;0.000020
D;NGA;ARG;CRO;ISL;1;0.000010
D;ARG;NGA;ISL;CRO;3211;0.032110
D;ARG;CRO;ISL;NGA;31;0.000310
D;ARG;CRO;NGA;ISL;86482;0.864820
E;BRA;SUI;CRC;SRB;60727;0.607270
E;CRC;BRA;SRB;SUI;2;0.000020
E;BRA;SUI;SRB;CRC;13678;0.136780
E;BRA;SRB;CRC;SUI;5841;0.058410
E;BRA;CRC;SRB;SUI;3586;0.035860
E;BRA;CRC;SUI;SRB;1919;0.019190
E;BRA;SRB;SUI;CRC;14247;0.142470
F;GER;SWE;MEX;KOR;4841;0.048410
F;GER;SWE;KOR;MEX;116;0.001160
F;GER;MEX;KOR;SWE;6901;0.069010
F;GER;KOR;MEX;SWE;504;0.005040
F;GER;KOR;SWE;MEX;19;0.000190
F;KOR;GER;SWE;MEX;2;0.000020
F;GER;MEX;SWE;KOR;87617;0.876170
G;BEL;TUN;PAN;ENG;11;0.000110
G;BEL;PAN;TUN;ENG;96;0.000960
G;ENG;PAN;TUN;BEL;1;0.000010
G;BEL;PAN;ENG;TUN;4;0.000040
G;PAN;BEL;TUN;ENG;13;0.000130
G;PAN;TUN;BEL;ENG;2;0.000020
G;TUN;ENG;PAN;BEL;4;0.000040
G;BEL;TUN;ENG;PAN;15;0.000150
G;BEL;ENG;PAN;TUN;632;0.006320
G;TUN;ENG;BEL;PAN;13;0.000130
G;TUN;PAN;ENG;BEL;1;0.000010
G;ENG;TUN;BEL;PAN;3;0.000030
G;BEL;ENG;TUN;PAN;99200;0.992000
G;PAN;ENG;BEL;TUN;1;0.000010
G;ENG;TUN;PAN;BEL;4;0.000040
H;COL;SEN;JPN;POL;189;0.001890
H;JPN;COL;POL;SEN;14;0.000140
H;POL;COL;JPN;SEN;2860;0.028600
H;POL;COL;SEN;JPN;14741;0.147410
H;JPN;POL;COL;SEN;4;0.000040
H;JPN;COL;SEN;POL;5;0.000050
H;COL;JPN;POL;SEN;34859;0.348590
H;COL;POL;SEN;JPN;10288;0.102880
H;COL;JPN;SEN;POL;166;0.001660
H;JPN;SEN;POL;COL;5;0.000050
H;SEN;JPN;COL;POL;1;0.000010
H;COL;POL;JPN;SEN;36466;0.364660
H;COL;SEN;POL;JPN;401;0.004010
H;JPN;SEN;COL;POL;1;0.000010
