code;group;pWinning;pFinalist;pSemiFinalist;pQuarterFinalist;pRoundOfSixteen;ability
EGY;A;0.001100;0.003080;0.007520;0.017570;0.051600;0.849512
RUS;A;0.019550;0.053050;0.128110;0.294100;0.899010;0.847199
KSA;A;0.001130;0.003160;0.007380;0.017040;0.049820;0.838825
URU;A;0.026100;0.073600;0.183910;0.478960;0.999570;0.857333
IRN;B;0.000000;0.000000;0.000020;0.000040;0.000060;0.922660
MAR;B;0.000320;0.000980;0.002280;0.006320;0.012070;0.922815
POR;B;0.032970;0.087060;0.208100;0.513410;0.987870;0.936058
ESP;B;0.127820;0.242430;0.410190;0.672560;1.000000;1.743780
AUS;C;0.000770;0.002570;0.006590;0.018050;0.051560;0.746187
DEN;C;0.008180;0.025770;0.066250;0.186530;0.525370;0.752648
FRA;C;0.123510;0.237410;0.422540;0.644330;0.999950;1.696962
PER;C;0.007310;0.021410;0.052970;0.151000;0.423120;0.753863
ARG;D;0.080610;0.171690;0.321310;0.644430;1.000000;1.366643
CRO;D;0.025410;0.067480;0.158220;0.307550;0.865130;0.944592
ISL;D;0.000060;0.000210;0.000520;0.000810;0.002180;0.921318
NGA;D;0.003920;0.010100;0.024090;0.047300;0.132690;0.931564
BRA;E;0.178620;0.288180;0.476290;0.725970;1.000000;2.155105
CRC;E;0.001070;0.002650;0.007070;0.015210;0.055070;0.782591
SRB;E;0.003310;0.008880;0.025310;0.055470;0.200880;0.783784
SUI;E;0.012820;0.033210;0.091320;0.206720;0.744050;0.780502
GER;F;0.170950;0.281430;0.487070;0.722620;1.000000;2.045378
MEX;F;0.016100;0.041630;0.110840;0.259810;0.945180;0.813866
KOR;F;0.000060;0.000210;0.000560;0.001180;0.005250;0.811430
SWE;F;0.001000;0.002420;0.005790;0.013020;0.049570;0.814122
BEL;G;0.069970;0.137640;0.277890;0.618060;0.999710;1.342574
ENG;G;0.045220;0.099350;0.235550;0.566130;0.998580;1.094034
PAN;G;0.000030;0.000080;0.000250;0.000600;0.001180;1.032908
TUN;G;0.000030;0.000040;0.000140;0.000310;0.000530;1.055395
COL;H;0.022690;0.054930;0.149150;0.424020;0.999890;0.829391
JPN;H;0.006560;0.017320;0.045200;0.134480;0.350550;0.818368
POL;H;0.012650;0.031650;0.086750;0.254130;0.643590;0.824512
SEN;H;0.000160;0.000380;0.000820;0.002270;0.005970;0.822968
